ep_id,birthdate,birthdate_backup,pos,height,weight,birthplace,nation,handedness,date_retrieved,source
381262,2001-05-19,19-May-01,D,"6'1"" / 186 cm",174 lbs / 79 kg,"Stockholm, SWE","Sweden
    
            / 
            USA",L,2022-08-26,https://www.eliteprospects.com/player/381262/samuel-sjolund
623765,2004-02-25,25-Feb-04,D,"6'0"" / 183 cm",185 lbs / 84 kg,"Wayzata, MN, USA",USA,R,2022-08-26,https://www.eliteprospects.com/player/623765/tristan-sarsland
655345,2004-05-19,19-May-04,D,"6'0"" / 183 cm",172 lbs / 78 kg,"Chicago, IL, USA",USA,R,2022-08-26,https://www.eliteprospects.com/player/655345/ryan-healey
491564,2004-01-12,12-Jan-04,D,"6'1"" / 185 cm",174 lbs / 79 kg,"Trois-Rivieres, QC, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/491564/tristan-luneau
269519,1998-08-22,22-Aug-98,D,"6'0"" / 183 cm",190 lbs / 86 kg,"London, ON, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/269519/justin-murray
387334,2000-07-20,20-Jul-00,G,"6'2"" / 188 cm",194 lbs / 88 kg,"Highland Park, IL, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/387334/jon-mor
526087,2004-01-10,10-Jan-04,D,"6'1"" / 185 cm",185 lbs / 84 kg,"Windsor, ON, CAN","Canada
    
            / 
            USA",L,2022-08-26,https://www.eliteprospects.com/player/526087/spencer-sova
201910,2002-02-09,09-Feb-02,D,"5'8"" / 173 cm",172 lbs / 78 kg,"Victoriaville, QC, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/201910/miguel-tourigny
152117,1998-05-07,07-May-98,RW,"6'4"" / 193 cm",201 lbs / 91 kg,"Alvkarleby, SWE","Finland
    
            / 
            Sweden",R,2022-08-26,https://www.eliteprospects.com/player/152117/jesse-puljujarvi
213715,1997-04-28,28-Apr-97,D,"6'2"" / 189 cm",205 lbs / 93 kg,"Val-d'Or, QC, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/213715/jeremy-lauzon
534828,2005-05-29,29-May-05,C,"5'11"" / 181 cm",181 lbs / 82 kg,"Stenungsund, SWE",Sweden,L,2022-08-26,https://www.eliteprospects.com/player/534828/otto-stenberg
240047,1997-12-12,12-Dec-97,C,"6'0"" / 184 cm",185 lbs / 84 kg,"Paris, FRA",Sweden,L,2022-08-26,https://www.eliteprospects.com/player/240047/gustaf-westlund
391048,2002-03-29,29-Mar-02,LW,"6'0"" / 183 cm",196 lbs / 89 kg,"Airdrie, AB, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/391048/jake-neighbours
569305,2004-01-21,21-Jan-04,C,"5'11"" / 180 cm",174 lbs / 79 kg,"Balgonie, SK, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/569305/matthew-perkins
186314,1997-03-24,24-Mar-97,D,"6'0"" / 183 cm",209 lbs / 95 kg,"Fontana, CA, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/186314/keoni-texeira
592376,2002-03-21,21-Mar-02,D,"6'3"" / 191 cm",190 lbs / 86 kg,"MN, USA",USA,R,2022-08-26,https://www.eliteprospects.com/player/592376/mason-streeter
582695,2003-04-15,15-Apr-03,D,"6'3"" / 191 cm",212 lbs / 96 kg,"Belle River, ON, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/582695/logan-mailloux
571957,2004-04-04,04-Apr-04,D,"6'2"" / 187 cm",179 lbs / 81 kg,"San Jose, CA, USA",USA,R,2022-08-26,https://www.eliteprospects.com/player/571957/garrett-brown
251447,1998-01-31,31-Jan-98,C,"5'11"" / 181 cm",165 lbs / 75 kg,"Markham, ON, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/251447/jonathan-ang
315191,1999-05-13,13-May-99,D,"6'2"" / 188 cm",192 lbs / 87 kg,"Gavle, SWE",Sweden,R,2022-08-26,https://www.eliteprospects.com/player/315191/lucas-gustavsson
570613,2004-03-23,23-Mar-04,G,"6'0"" / 183 cm",174 lbs / 79 kg,"Levis, QC, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/570613/charles-edward-gravel
560848,2004-04-08,08-Apr-04,C,"6'1"" / 186 cm",192 lbs / 87 kg,"Innsbruck, AUT",Austria,L,2022-08-26,https://www.eliteprospects.com/player/560848/marco-kasper
297223,1999-08-28,28-Aug-99,LW,"6'0"" / 183 cm",198 lbs / 90 kg,"Lorenskog, NOR",Norway,L,2022-08-26,https://www.eliteprospects.com/player/297223/kristian-roykas-marthinsen
248382,1997-06-24,24-Jun-97,C,"6'3"" / 191 cm",192 lbs / 87 kg,"Dellwood, MN, USA",USA,R,2022-08-26,https://www.eliteprospects.com/player/248382/jack-becker
201798,2002-02-22,22-Feb-02,D,"6'1"" / 185 cm",183 lbs / 83 kg,"Abbotsford, BC, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/201798/aidan-de-la-gorgendiere
201856,2002-05-30,30-May-02,C,"6'1"" / 185 cm",203 lbs / 92 kg,"Elk River, MN, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/201856/zach-michaelis
538823,2003-01-21,21-Jan-03,D,"5'11"" / 181 cm",170 lbs / 77 kg,"Moskva, RUS",Russia,R,2022-08-26,https://www.eliteprospects.com/player/538823/mikhail-berezovsky
240032,1998-03-10,10-Mar-98,D,"6'3"" / 191 cm",216 lbs / 98 kg,"Williamsville, NY, USA","USA
    
            / 
            Canada",L,2022-08-26,https://www.eliteprospects.com/player/240032/griffin-luce
266569,2000-09-19,19-Sep-00,D,"6'0"" / 183 cm",205 lbs / 93 kg,"Black Rock, NS, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/266569/jarrett-baker
157407,1997-01-27,27-Jan-97,LW/RW,"6'5"" / 195 cm",229 lbs / 104 kg,"Trebisov, SVK",Slovakia,L,2022-08-26,https://www.eliteprospects.com/player/157407/radovan-bondra
574586,2004-07-15,15-Jul-04,D,"6'5"" / 195 cm",225 lbs / 102 kg,"St-Jean-sur-Richelieu, QC, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/574586/noah-warren
342286,2000-09-03,03-Sep-00,G,"6'6"" / 197 cm",225 lbs / 102 kg,"Goteborg, SWE",Sweden,L,2022-08-26,https://www.eliteprospects.com/player/342286/erik-portillo
195037,1998-08-22,22-Aug-98,G,"6'0"" / 183 cm",183 lbs / 83 kg,"Halifax, NS, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/195037/reilly-pickard
216188,1999-05-07,07-May-99,D,"6'2"" / 188 cm",183 lbs / 83 kg,"Yarmouth, NS, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/216188/walter-flower
571034,2004-05-05,05-May-04,C,"6'4"" / 193 cm",203 lbs / 92 kg,"Strathclair, MB, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/571034/conor-geekie
552533,2002-01-25,25-Jan-02,C,"6'2"" / 188 cm",181 lbs / 82 kg,"Woburn, MA, USA",USA,R,2022-08-26,https://www.eliteprospects.com/player/552533/riley-duran
578968,2004-11-12,12-Nov-04,C,"6'3"" / 191 cm",181 lbs / 82 kg,"Trencin, SVK",Slovakia,L,2022-08-26,https://www.eliteprospects.com/player/578968/samuel-honzek
320907,1998-01-20,20-Jan-98,LW/RW,"6'1"" / 185 cm",187 lbs / 85 kg,"Penza, RUS",Russia,L,2022-08-26,https://www.eliteprospects.com/player/320907/ivan-romanov
400302,2001-02-03,03-Feb-01,G,"6'0"" / 182 cm",168 lbs / 76 kg,"Milano, ITA",Italy,L,2022-08-26,https://www.eliteprospects.com/player/400302/davide-fadani
299319,1998-09-02,02-Sep-98,C,"6'3"" / 190 cm",190 lbs / 86 kg,"Siilinjarvi, FIN",Finland,L,2022-08-26,https://www.eliteprospects.com/player/299319/eetu-luostarinen
274245,1997-09-09,09-Sep-97,RW,"5'10"" / 178 cm",179 lbs / 81 kg,"Lakeville, MN, USA",USA,R,2022-08-26,https://www.eliteprospects.com/player/274245/nick-swaney
241441,2002-06-14,14-Jun-02,RW/C,"6'1"" / 185 cm",192 lbs / 87 kg,"Deurne, BEL","Austria
    
            / 
            Belgium",R,2022-08-26,https://www.eliteprospects.com/player/241441/senna-peeters
120650,1996-06-03,03-Jun-96,D,"6'4"" / 193 cm",209 lbs / 95 kg,"Regina, SK, CAN","Canada
    
            / 
            U.K.",L,2022-08-26,https://www.eliteprospects.com/player/120650/sam-ruopp
326463,1999-04-28,28-Apr-99,RW,"6'2"" / 188 cm",209 lbs / 95 kg,"Scarborough, ON, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/326463/jonathan-yantsis
413102,2002-06-20,20-Jun-02,D,"5'11"" / 180 cm",194 lbs / 88 kg,"Sherwood Park, AB, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/413102/logan-dowhaniuk
272232,1998-11-06,06-Nov-98,C/RW,"5'9"" / 175 cm",185 lbs / 84 kg,"Naples, FL, USA",USA,R,2022-08-26,https://www.eliteprospects.com/player/272232/zach-solow
508271,2002-02-27,27-Feb-02,F,"6'2"" / 188 cm",205 lbs / 93 kg,"DeWitt, NY, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/508271/ryan-kirwan
394723,2002-02-14,14-Feb-02,C/LW,"6'3"" / 190 cm",194 lbs / 88 kg,"Oslo, NOR",Sweden,R,2022-08-26,https://www.eliteprospects.com/player/394723/isak-garfve
442945,2001-03-15,15-Mar-01,D,"6'3"" / 190 cm",203 lbs / 92 kg,"Yaroslavl, RUS",Russia,L,2022-08-26,https://www.eliteprospects.com/player/442945/ilya-mironov
517437,2001-02-27,27-Feb-01,RW/LW,"5'7"" / 171 cm",170 lbs / 77 kg,"Brest, BLR",Belarus,L,2022-08-26,https://www.eliteprospects.com/player/517437/yevgeni-oksentyuk
97788,1995-07-23,23-Jul-95,C,"6'1"" / 185 cm",172 lbs / 78 kg,"Wilcox, SK, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/97788/tim-mcgauley
247330,2000-04-17,17-Apr-00,RW/LW,"6'1"" / 185 cm",187 lbs / 85 kg,"Ostrava, CZE",Czechia,L,2022-08-26,https://www.eliteprospects.com/player/247330/michal-kvasnica
417301,2002-03-21,21-Mar-02,G,"6'3"" / 190 cm",190 lbs / 86 kg,"Clarence Center, NY, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/417301/luke-pavicich
413652,2002-02-05,05-Feb-02,RW,"6'4"" / 193 cm",207 lbs / 94 kg,"Ottawa, ON, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/413652/kyle-mcdonald
283959,2000-05-05,05-May-00,D,"6'3"" / 191 cm",192 lbs / 87 kg,"Orlando, FL, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/283959/cole-krygier
166592,1997-02-04,04-Feb-97,LW,"6'1"" / 185 cm",201 lbs / 91 kg,"Calgary, AB, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/166592/adam-berg
264409,1998-08-17,17-Aug-98,G,"6'2"" / 188 cm",194 lbs / 88 kg,"Stockholm, SWE",Sweden,L,2022-08-26,https://www.eliteprospects.com/player/264409/filip-larsson
472338,2003-07-26,26-Jul-03,C,"5'10"" / 177 cm",150 lbs / 68 kg,"Praha, CZE",Czechia,L,2022-08-26,https://www.eliteprospects.com/player/472338/jakub-altrichter
212650,1997-11-01,01-Nov-97,C/RW,"6'0"" / 184 cm",183 lbs / 83 kg,"Osteraker, SWE",Sweden,R,2022-08-26,https://www.eliteprospects.com/player/212650/marcus-siren
275257,2000-05-13,13-May-00,D,"6'2"" / 188 cm",183 lbs / 83 kg,"Martin, SVK",Slovakia,R,2022-08-26,https://www.eliteprospects.com/player/275257/martin-bucko
515143,2002-04-01,01-Apr-02,RW,"6'0"" / 183 cm",179 lbs / 81 kg,"Liozno, BLR",Belarus,L,2022-08-26,https://www.eliteprospects.com/player/515143/valentin-demchenko
199395,1997-02-10,10-Feb-97,C,"6'0"" / 183 cm",170 lbs / 77 kg,"Cloverdale, BC, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/199395/tyler-soy
537887,2004-02-07,07-Feb-04,D,"6'0"" / 183 cm",192 lbs / 87 kg,"Blansko, CZE",Czechia,R,2022-08-26,https://www.eliteprospects.com/player/537887/frantisek-nemec
779979,2005-02-08,08-Feb-05,D,"6'1"" / 185 cm",163 lbs / 74 kg,"Moskva, RUS",Russia,L,2022-08-26,https://www.eliteprospects.com/player/779979/ivan-remezovsky
526088,2004-11-29,29-Nov-04,D,"5'11"" / 180 cm",187 lbs / 85 kg,"Washington, MI, USA",USA,R,2022-08-26,https://www.eliteprospects.com/player/526088/hunter-brzustewicz
213781,1997-04-30,30-Apr-97,C/LW,"6'1"" / 185 cm",203 lbs / 92 kg,"Montreal, QC, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/213781/gabriel-fontaine
154496,1998-02-03,03-Feb-98,C,"5'11"" / 180 cm",190 lbs / 86 kg,"Sherwood Park, AB, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/154496/sam-steel
433833,2001-08-16,16-Aug-01,C,"5'10"" / 178 cm",185 lbs / 84 kg,"Kitchener, ON, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/433833/keean-washkurak
228329,1998-11-14,14-Nov-98,RW,"6'2"" / 187 cm",203 lbs / 92 kg,"Trencin, SVK",Slovakia,L,2022-08-26,https://www.eliteprospects.com/player/228329/erik-smolka
267953,1998-05-12,12-May-98,LW/C,"5'11"" / 180 cm",168 lbs / 76 kg,"Bowmanville, ON, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/267953/luke-burghardt
635386,2004-02-06,06-Feb-04,C,"6'0"" / 183 cm",170 lbs / 77 kg,"Abbotsford, BC, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/635386/tyson-dyck
305661,1999-11-08,08-Nov-99,G,"6'2"" / 188 cm",190 lbs / 86 kg,"Chambly, QC, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/305661/zach-bouthillier
288045,1999-01-03,03-Jan-99,C,"6'2"" / 188 cm",196 lbs / 89 kg,"Lakeville, MN, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/288045/ryan-poehling
676668,2004-01-07,07-Jan-04,F,"5'9"" / 174 cm",154 lbs / 70 kg,-,Switzerland,R,2022-08-26,https://www.eliteprospects.com/player/676668/gregory-weber
131262,1996-11-13,13-Nov-96,D,"6'4"" / 193 cm",225 lbs / 102 kg,"Red Deer, AB, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/131262/andrew-nielsen
514090,2004-05-25,25-May-04,D,"6'2"" / 187 cm",196 lbs / 89 kg,-,Sweden,R,2022-08-26,https://www.eliteprospects.com/player/514090/oskar-tangerby
595268,2002-02-22,22-Feb-02,F,"5'11"" / 181 cm",161 lbs / 73 kg,"Bryansk, RUS",Russia,R,2022-08-26,https://www.eliteprospects.com/player/595268/andrei-proskurnin
525975,2001-01-25,25-Jan-01,D,"5'9"" / 175 cm",183 lbs / 83 kg,"Toronto, ON, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/525975/robert-calisti
290157,2002-01-21,21-Jan-02,LW,"5'11"" / 180 cm",172 lbs / 78 kg,"Saint-Hyacinthe, QC, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/290157/elliot-desnoyers
349467,2001-06-25,25-Jun-01,D,"6'3"" / 191 cm",198 lbs / 90 kg,"Orebro, SWE",Sweden,L,2022-08-26,https://www.eliteprospects.com/player/349467/philip-broberg
559567,2003-01-17,17-Jan-03,D,"6'0"" / 183 cm",164 lbs / 74 kg,-,Czechia,L,2022-08-26,https://www.eliteprospects.com/player/559567/michal-kostoval
260602,1997-10-01,01-Oct-97,D,"5'9"" / 175 cm",181 lbs / 82 kg,"South Burlington, VT, USA",USA,R,2022-08-26,https://www.eliteprospects.com/player/260602/ben-finkelstein
248434,1997-01-20,20-Jan-97,C,"6'1"" / 185 cm",192 lbs / 87 kg,"Fort Frances, ON, CAN","Canada
    
            / 
            USA",L,2022-08-26,https://www.eliteprospects.com/player/248434/jared-bethune
277086,1999-01-05,05-Jan-99,C/RW,"6'2"" / 188 cm",190 lbs / 86 kg,"Helsinki, FIN",Finland,R,2022-08-26,https://www.eliteprospects.com/player/277086/santeri-hartikainen
266585,2000-10-05,05-Oct-00,G,"6'1"" / 185 cm",187 lbs / 85 kg,"River Denys, NS, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/266585/colten-ellis
272413,1999-04-24,24-Apr-99,RW,"6'3"" / 191 cm",198 lbs / 90 kg,"Rokycany, CZE",Czechia,L,2022-08-26,https://www.eliteprospects.com/player/272413/jakub-pour
120202,1996-05-06,06-May-96,C,"5'10"" / 178 cm",179 lbs / 81 kg,"Winnipeg, MB, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/120202/adam-brooks
155384,1995-01-13,13-Jan-95,C/W,"6'2"" / 189 cm",205 lbs / 93 kg,"Moskva, RUS",Russia,L,2022-08-26,https://www.eliteprospects.com/player/155384/maxim-mamin
245105,1997-07-16,16-Jul-97,D,"6'7"" / 200 cm",218 lbs / 99 kg,"Carp, ON, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/245105/riley-bruce
541232,2003-08-04,04-Aug-03,LW,"5'10"" / 178 cm",143 lbs / 65 kg,-,Sweden,L,2022-08-26,https://www.eliteprospects.com/player/541232/william-soderlund
271880,2000-03-12,12-Mar-00,D,"5'10"" / 178 cm",154 lbs / 70 kg,"Karlovy Vary, CZE",Czechia,L,2022-08-26,https://www.eliteprospects.com/player/271880/filip-bernath
390196,2002-05-27,27-May-02,LW/C,"5'9"" / 175 cm",159 lbs / 72 kg,"Kentville, NS, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/390196/brady-burns
322072,2000-08-26,26-Aug-00,C,"5'11"" / 180 cm",190 lbs / 86 kg,"Cochrane, AB, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/322072/austin-wong
157524,1997-06-03,03-Jun-97,C/LW,"6'2"" / 187 cm",207 lbs / 94 kg,"Praha, CZE",Czechia,L,2022-08-26,https://www.eliteprospects.com/player/157524/filip-chlapik
382160,2000-06-27,27-Jun-00,C/RW,"6'2"" / 188 cm",181 lbs / 82 kg,"Montreal, QC, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/382160/mathias-laferriere
339518,1999-05-24,24-May-99,F,"6'1"" / 185 cm",181 lbs / 82 kg,"Moskva, RUS",Russia,L,2022-08-26,https://www.eliteprospects.com/player/339518/artyom-belotsky
364230,2000-02-14,14-Feb-00,LW/C,"5'11"" / 180 cm",161 lbs / 73 kg,"Grand Rapids, MN, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/364230/blake-mclaughlin
484686,2002-05-24,24-May-02,C/RW,"5'11"" / 181 cm",176 lbs / 80 kg,"Bardejov, SVK",Slovakia,L,2022-08-26,https://www.eliteprospects.com/player/484686/richard-nemec
503976,2002-02-21,21-Feb-02,RW,"5'11"" / 180 cm",165 lbs / 75 kg,"Toronto, ON, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/503976/luke-evangelista
248429,1997-02-17,17-Feb-97,LW/C,"6'0"" / 183 cm",192 lbs / 87 kg,"Wasau, WI, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/248429/kevin-conley
388222,2002-04-26,26-Apr-02,G,"6'2"" / 189 cm",179 lbs / 81 kg,"Raleigh, NC, USA","Czechia
    
            / 
            USA",L,2022-08-26,https://www.eliteprospects.com/player/388222/nick-malik
300831,1998-11-22,22-Nov-98,C,"6'1"" / 185 cm",196 lbs / 89 kg,"Edina, MN, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/300831/casey-mittelstadt
509869,2003-08-19,19-Aug-03,D,"6'0"" / 183 cm",154 lbs / 70 kg,"Falun, SWE",Sweden,L,2022-08-26,https://www.eliteprospects.com/player/509869/samuel-eklund
639024,2003-09-29,29-Sep-03,LW,"5'8"" / 173 cm",152 lbs / 69 kg,"Kuopio, FIN",Finland,L,2022-08-26,https://www.eliteprospects.com/player/639024/konsta-kapanen
527453,2003-11-25,25-Nov-03,D,"6'1"" / 185 cm",192 lbs / 87 kg,"Moskva, RUS",Russia,L,2022-08-26,https://www.eliteprospects.com/player/527453/pavel-mintyukov
514651,2002-10-22,22-Oct-02,D,"6'3"" / 190 cm",181 lbs / 82 kg,"Moskva, RUS",Russia,L,2022-08-26,https://www.eliteprospects.com/player/514651/daniil-chayka
331890,2000-06-20,20-Jun-00,C,"6'0"" / 183 cm",192 lbs / 87 kg,"Trencin, SVK",Slovakia,L,2022-08-26,https://www.eliteprospects.com/player/331890/kristian-kovacik
252724,1997-07-15,15-Jul-97,G,"6'1"" / 185 cm",179 lbs / 81 kg,"Dieppe, NB, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/252724/frederic-foulem
698717,2003-09-06,06-Sep-03,LW,"5'10"" / 178 cm",163 lbs / 74 kg,"Nizhny Tagil, RUS",Russia,R,2022-08-26,https://www.eliteprospects.com/player/698717/dmitri-buchelnikov
517394,2003-03-29,29-Mar-03,G,"6'2"" / 189 cm",183 lbs / 83 kg,"Goteborg, SWE",Sweden,R,2022-08-26,https://www.eliteprospects.com/player/517394/ian-blomquist
305092,2001-12-02,02-Dec-01,RW/C,"5'9"" / 175 cm",170 lbs / 77 kg,"Halifax, NS, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/305092/ryan-francis
165763,1997-04-09,09-Apr-97,C/RW,"6'4"" / 194 cm",203 lbs / 92 kg,"Mannedorf, SUI",Switzerland,L,2022-08-26,https://www.eliteprospects.com/player/165763/timo-haussener
363668,2000-12-13,13-Dec-00,D,"6'1"" / 185 cm",174 lbs / 79 kg,"Toronto, ON, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/363668/christopher-giroday
201536,1999-01-14,14-Jan-99,LW,"6'0"" / 183 cm",183 lbs / 83 kg,"Montreal, QC, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/201536/arnaud-durandeau
557446,2003-02-09,09-Feb-03,C/W,"5'11"" / 180 cm",176 lbs / 80 kg,"Zlate Moravce, SVK",Slovakia,R,2022-08-26,https://www.eliteprospects.com/player/557446/marek-sramaty
416856,2001-10-21,21-Oct-01,D,"6'1"" / 185 cm",185 lbs / 84 kg,"Brooklin, ON, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/416856/colton-kamerrer
567517,2001-11-30,30-Nov-01,D,"6'5"" / 195 cm",201 lbs / 91 kg,"Novopolotsk, BLR",Belarus,L,2022-08-26,https://www.eliteprospects.com/player/567517/danila-palivko
569291,2004-02-27,27-Feb-04,F,"5'11"" / 180 cm",185 lbs / 84 kg,"Regina, SK, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/569291/kyren-gronick
201684,1999-05-02,02-May-99,C,"5'10"" / 178 cm",194 lbs / 88 kg,"North Vancouver, BC, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/201684/jordy-bellerive
570931,2004-07-12,12-Jul-04,D,"5'11"" / 180 cm",187 lbs / 85 kg,"Winnipeg, MB, CAN",Canada,L,2022-08-26,https://www.eliteprospects.com/player/570931/denton-mateychuk
248808,1996-12-18,18-Dec-96,D,"6'9"" / 205 cm",220 lbs / 100 kg,"Minsk, BLR",Belarus,L,2022-08-26,https://www.eliteprospects.com/player/248808/stepan-falkovsky
527492,2003-08-23,23-Aug-03,C,"6'3"" / 190 cm",192 lbs / 87 kg,"Topolcany, SVK",Slovakia,L,2022-08-26,https://www.eliteprospects.com/player/527492/alex-geci
535869,2004-03-12,12-Mar-04,C,"6'3"" / 191 cm",187 lbs / 85 kg,"Memphis, TN, USA","USA
    
            / 
            Canada",L,2022-08-26,https://www.eliteprospects.com/player/535869/luke-devlin
618663,2003-01-31,31-Jan-03,RW,"6'0"" / 183 cm",185 lbs / 84 kg,"Toronto, ON, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/618663/ryan-gillespie
336956,2001-06-01,01-Jun-01,G,"6'2"" / 188 cm",203 lbs / 92 kg,"Wilmette, IL, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/336956/cameron-rowe
640893,2004-06-01,01-Jun-04,RW,"6'0"" / 182 cm",181 lbs / 82 kg,"Stockholm, SWE",Sweden,R,2022-08-26,https://www.eliteprospects.com/player/640893/rasmus-rudslatt
201655,1999-03-07,07-Mar-99,D,"6'0"" / 183 cm",198 lbs / 90 kg,"Toronto, ON, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/201655/nick-grima
271111,1998-06-06,06-Jun-98,C,"6'2"" / 187 cm",203 lbs / 92 kg,"Minsk, BLR",Belarus,L,2022-08-26,https://www.eliteprospects.com/player/271111/yegor-sharangovich
538831,2003-05-15,15-May-03,C,"6'6"" / 197 cm",201 lbs / 91 kg,"Moskva, RUS",Russia,L,2022-08-26,https://www.eliteprospects.com/player/538831/matvei-averochkin
561988,2002-11-25,25-Nov-02,LW/RW,"6'1"" / 186 cm",179 lbs / 81 kg,"Michalovce, SVK",Slovakia,R,2022-08-26,https://www.eliteprospects.com/player/561988/david-hajnik
551013,2003-10-13,13-Oct-03,G,"6'4"" / 193 cm",220 lbs / 100 kg,"St. Paul, MN, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/551013/croix-kochendorfer
299556,1999-05-05,05-May-99,D,"6'3"" / 191 cm",183 lbs / 83 kg,"Ottawa, ON, CAN",Canada,R,2022-08-26,https://www.eliteprospects.com/player/299556/cameron-crotty
