ep_id,birthdate,birthplace,nation_primary,nation_secondary,height,weight,pos,handedness,date_retrieved,source
186314,1997-03-24,"Fontana, CA, USA",USA,NA,183,95,D,L,2022-08-26,https://www.eliteprospects.com/player/186314/keoni-texeira
592376,2002-03-21,"MN, USA",USA,NA,191,86,D,R,2022-08-26,https://www.eliteprospects.com/player/592376/mason-streeter
582695,2003-04-15,"Belle River, ON, CAN",Canada,NA,191,96,D,R,2022-08-26,https://www.eliteprospects.com/player/582695/logan-mailloux
571957,2004-04-04,"San Jose, CA, USA",USA,NA,187,81,D,R,2022-08-26,https://www.eliteprospects.com/player/571957/garrett-brown
251447,1998-01-31,"Markham, ON, CAN",Canada,NA,181,75,C,R,2022-08-26,https://www.eliteprospects.com/player/251447/jonathan-ang
315191,1999-05-13,"Gavle, SWE",Sweden,NA,188,87,D,R,2022-08-26,https://www.eliteprospects.com/player/315191/lucas-gustavsson
570613,2004-03-23,"Levis, QC, CAN",Canada,NA,183,79,G,R,2022-08-26,https://www.eliteprospects.com/player/570613/charles-edward-gravel
560848,2004-04-08,"Innsbruck, AUT",Austria,NA,186,87,C,L,2022-08-26,https://www.eliteprospects.com/player/560848/marco-kasper
297223,1999-08-28,"Lorenskog, NOR",Norway,NA,183,90,LW,L,2022-08-26,https://www.eliteprospects.com/player/297223/kristian-roykas-marthinsen
248382,1997-06-24,"Dellwood, MN, USA",USA,NA,191,87,C,R,2022-08-26,https://www.eliteprospects.com/player/248382/jack-becker
201798,2002-02-22,"Abbotsford, BC, CAN",Canada,NA,185,83,D,L,2022-08-26,https://www.eliteprospects.com/player/201798/aidan-de-la-gorgendiere
201856,2002-05-30,"Elk River, MN, USA",USA,NA,185,92,C,L,2022-08-26,https://www.eliteprospects.com/player/201856/zach-michaelis
538823,2003-01-21,"Moskva, RUS",Russia,NA,181,77,D,R,2022-08-26,https://www.eliteprospects.com/player/538823/mikhail-berezovsky
240032,1998-03-10,"Williamsville, NY, USA",USA,Canada,191,98,D,L,2022-08-26,https://www.eliteprospects.com/player/240032/griffin-luce
266569,2000-09-19,"Black Rock, NS, CAN",Canada,NA,183,93,D,L,2022-08-26,https://www.eliteprospects.com/player/266569/jarrett-baker
157407,1997-01-27,"Trebisov, SVK",Slovakia,NA,195,104,LW/RW,L,2022-08-26,https://www.eliteprospects.com/player/157407/radovan-bondra
574586,2004-07-15,"St-Jean-sur-Richelieu, QC, CAN",Canada,NA,195,102,D,R,2022-08-26,https://www.eliteprospects.com/player/574586/noah-warren
342286,2000-09-03,"Goteborg, SWE",Sweden,NA,197,102,G,L,2022-08-26,https://www.eliteprospects.com/player/342286/erik-portillo
195037,1998-08-22,"Halifax, NS, CAN",Canada,NA,183,83,G,L,2022-08-26,https://www.eliteprospects.com/player/195037/reilly-pickard
216188,1999-05-07,"Yarmouth, NS, CAN",Canada,NA,188,83,D,R,2022-08-26,https://www.eliteprospects.com/player/216188/walter-flower
571034,2004-05-05,"Strathclair, MB, CAN",Canada,NA,193,92,C,L,2022-08-26,https://www.eliteprospects.com/player/571034/conor-geekie
552533,2002-01-25,"Woburn, MA, USA",USA,NA,188,82,C,R,2022-08-26,https://www.eliteprospects.com/player/552533/riley-duran
578968,2004-11-12,"Trencin, SVK",Slovakia,NA,191,82,C,L,2022-08-26,https://www.eliteprospects.com/player/578968/samuel-honzek
320907,1998-01-20,"Penza, RUS",Russia,NA,185,85,LW/RW,L,2022-08-26,https://www.eliteprospects.com/player/320907/ivan-romanov
400302,2001-02-03,"Milano, ITA",Italy,NA,182,76,G,L,2022-08-26,https://www.eliteprospects.com/player/400302/davide-fadani
299319,1998-09-02,"Siilinjarvi, FIN",Finland,NA,190,86,C,L,2022-08-26,https://www.eliteprospects.com/player/299319/eetu-luostarinen
274245,1997-09-09,"Lakeville, MN, USA",USA,NA,178,81,RW,R,2022-08-26,https://www.eliteprospects.com/player/274245/nick-swaney
241441,2002-06-14,"Deurne, BEL",Austria,Belgium,185,87,RW/C,R,2022-08-26,https://www.eliteprospects.com/player/241441/senna-peeters
120650,1996-06-03,"Regina, SK, CAN",Canada,U.K.,193,95,D,L,2022-08-26,https://www.eliteprospects.com/player/120650/sam-ruopp
326463,1999-04-28,"Scarborough, ON, CAN",Canada,NA,188,95,RW,R,2022-08-26,https://www.eliteprospects.com/player/326463/jonathan-yantsis
413102,2002-06-20,"Sherwood Park, AB, CAN",Canada,NA,180,88,D,L,2022-08-26,https://www.eliteprospects.com/player/413102/logan-dowhaniuk
272232,1998-11-06,"Naples, FL, USA",USA,NA,175,84,C/RW,R,2022-08-26,https://www.eliteprospects.com/player/272232/zach-solow
508271,2002-02-27,"DeWitt, NY, USA",USA,NA,188,93,F,L,2022-08-26,https://www.eliteprospects.com/player/508271/ryan-kirwan
394723,2002-02-14,"Oslo, NOR",Sweden,NA,190,88,C/LW,R,2022-08-26,https://www.eliteprospects.com/player/394723/isak-garfve
442945,2001-03-15,"Yaroslavl, RUS",Russia,NA,190,92,D,L,2022-08-26,https://www.eliteprospects.com/player/442945/ilya-mironov
517437,2001-02-27,"Brest, BLR",Belarus,NA,171,77,RW/LW,L,2022-08-26,https://www.eliteprospects.com/player/517437/yevgeni-oksentyuk
97788,1995-07-23,"Wilcox, SK, CAN",Canada,NA,185,78,C,L,2022-08-26,https://www.eliteprospects.com/player/97788/tim-mcgauley
247330,2000-04-17,"Ostrava, CZE",Czechia,NA,185,85,RW/LW,L,2022-08-26,https://www.eliteprospects.com/player/247330/michal-kvasnica
417301,2002-03-21,"Clarence Center, NY, USA",USA,NA,190,86,G,L,2022-08-26,https://www.eliteprospects.com/player/417301/luke-pavicich
413652,2002-02-05,"Ottawa, ON, CAN",Canada,NA,193,94,RW,R,2022-08-26,https://www.eliteprospects.com/player/413652/kyle-mcdonald
283959,2000-05-05,"Orlando, FL, USA",USA,NA,191,87,D,L,2022-08-26,https://www.eliteprospects.com/player/283959/cole-krygier
166592,1997-02-04,"Calgary, AB, CAN",Canada,NA,185,91,LW,L,2022-08-26,https://www.eliteprospects.com/player/166592/adam-berg
264409,1998-08-17,"Stockholm, SWE",Sweden,NA,188,88,G,L,2022-08-26,https://www.eliteprospects.com/player/264409/filip-larsson
472338,2003-07-26,"Praha, CZE",Czechia,NA,177,68,C,L,2022-08-26,https://www.eliteprospects.com/player/472338/jakub-altrichter
212650,1997-11-01,"Osteraker, SWE",Sweden,NA,184,83,C/RW,R,2022-08-26,https://www.eliteprospects.com/player/212650/marcus-siren
275257,2000-05-13,"Martin, SVK",Slovakia,NA,188,83,D,R,2022-08-26,https://www.eliteprospects.com/player/275257/martin-bucko
515143,2002-04-01,"Liozno, BLR",Belarus,NA,183,81,RW,L,2022-08-26,https://www.eliteprospects.com/player/515143/valentin-demchenko
199395,1997-02-10,"Cloverdale, BC, CAN",Canada,NA,183,77,C,L,2022-08-26,https://www.eliteprospects.com/player/199395/tyler-soy
537887,2004-02-07,"Blansko, CZE",Czechia,NA,183,87,D,R,2022-08-26,https://www.eliteprospects.com/player/537887/frantisek-nemec
779979,2005-02-08,"Moskva, RUS",Russia,NA,185,74,D,L,2022-08-26,https://www.eliteprospects.com/player/779979/ivan-remezovsky
526088,2004-11-29,"Washington, MI, USA",USA,NA,180,85,D,R,2022-08-26,https://www.eliteprospects.com/player/526088/hunter-brzustewicz
213781,1997-04-30,"Montreal, QC, CAN",Canada,NA,185,92,C/LW,L,2022-08-26,https://www.eliteprospects.com/player/213781/gabriel-fontaine
154496,1998-02-03,"Sherwood Park, AB, CAN",Canada,NA,180,86,C,L,2022-08-26,https://www.eliteprospects.com/player/154496/sam-steel
433833,2001-08-16,"Kitchener, ON, CAN",Canada,NA,178,84,C,L,2022-08-26,https://www.eliteprospects.com/player/433833/keean-washkurak
228329,1998-11-14,"Trencin, SVK",Slovakia,NA,187,92,RW,L,2022-08-26,https://www.eliteprospects.com/player/228329/erik-smolka
267953,1998-05-12,"Bowmanville, ON, CAN",Canada,NA,180,76,LW/C,L,2022-08-26,https://www.eliteprospects.com/player/267953/luke-burghardt
635386,2004-02-06,"Abbotsford, BC, CAN",Canada,NA,183,77,C,L,2022-08-26,https://www.eliteprospects.com/player/635386/tyson-dyck
305661,1999-11-08,"Chambly, QC, CAN",Canada,NA,188,86,G,L,2022-08-26,https://www.eliteprospects.com/player/305661/zach-bouthillier
288045,1999-01-03,"Lakeville, MN, USA",USA,NA,188,89,C,L,2022-08-26,https://www.eliteprospects.com/player/288045/ryan-poehling
676668,2004-01-07,NA,Switzerland,NA,174,70,F,R,2022-08-26,https://www.eliteprospects.com/player/676668/gregory-weber
131262,1996-11-13,"Red Deer, AB, CAN",Canada,NA,193,102,D,L,2022-08-26,https://www.eliteprospects.com/player/131262/andrew-nielsen
514090,2004-05-25,NA,Sweden,NA,187,89,D,R,2022-08-26,https://www.eliteprospects.com/player/514090/oskar-tangerby
595268,2002-02-22,"Bryansk, RUS",Russia,NA,181,73,F,R,2022-08-26,https://www.eliteprospects.com/player/595268/andrei-proskurnin
525975,2001-01-25,"Toronto, ON, CAN",Canada,NA,175,83,D,L,2022-08-26,https://www.eliteprospects.com/player/525975/robert-calisti
290157,2002-01-21,"Saint-Hyacinthe, QC, CAN",Canada,NA,180,78,LW,L,2022-08-26,https://www.eliteprospects.com/player/290157/elliot-desnoyers
349467,2001-06-25,"Orebro, SWE",Sweden,NA,191,90,D,L,2022-08-26,https://www.eliteprospects.com/player/349467/philip-broberg
559567,2003-01-17,NA,Czechia,NA,183,74,D,L,2022-08-26,https://www.eliteprospects.com/player/559567/michal-kostoval
260602,1997-10-01,"South Burlington, VT, USA",USA,NA,175,82,D,R,2022-08-26,https://www.eliteprospects.com/player/260602/ben-finkelstein
248434,1997-01-20,"Fort Frances, ON, CAN",Canada,USA,185,87,C,L,2022-08-26,https://www.eliteprospects.com/player/248434/jared-bethune
277086,1999-01-05,"Helsinki, FIN",Finland,NA,188,86,C/RW,R,2022-08-26,https://www.eliteprospects.com/player/277086/santeri-hartikainen
266585,2000-10-05,"River Denys, NS, CAN",Canada,NA,185,85,G,L,2022-08-26,https://www.eliteprospects.com/player/266585/colten-ellis
272413,1999-04-24,"Rokycany, CZE",Czechia,NA,191,90,RW,L,2022-08-26,https://www.eliteprospects.com/player/272413/jakub-pour
120202,1996-05-06,"Winnipeg, MB, CAN",Canada,NA,178,81,C,L,2022-08-26,https://www.eliteprospects.com/player/120202/adam-brooks
155384,1995-01-13,"Moskva, RUS",Russia,NA,189,93,C/W,L,2022-08-26,https://www.eliteprospects.com/player/155384/maxim-mamin
245105,1997-07-16,"Carp, ON, CAN",Canada,NA,200,99,D,R,2022-08-26,https://www.eliteprospects.com/player/245105/riley-bruce
541232,2003-08-04,NA,Sweden,NA,178,65,LW,L,2022-08-26,https://www.eliteprospects.com/player/541232/william-soderlund
271880,2000-03-12,"Karlovy Vary, CZE",Czechia,NA,178,70,D,L,2022-08-26,https://www.eliteprospects.com/player/271880/filip-bernath
390196,2002-05-27,"Kentville, NS, CAN",Canada,NA,175,72,LW/C,L,2022-08-26,https://www.eliteprospects.com/player/390196/brady-burns
322072,2000-08-26,"Cochrane, AB, CAN",Canada,NA,180,86,C,R,2022-08-26,https://www.eliteprospects.com/player/322072/austin-wong
157524,1997-06-03,"Praha, CZE",Czechia,NA,187,94,C/LW,L,2022-08-26,https://www.eliteprospects.com/player/157524/filip-chlapik
382160,2000-06-27,"Montreal, QC, CAN",Canada,NA,188,82,C/RW,R,2022-08-26,https://www.eliteprospects.com/player/382160/mathias-laferriere
339518,1999-05-24,"Moskva, RUS",Russia,NA,185,82,F,L,2022-08-26,https://www.eliteprospects.com/player/339518/artyom-belotsky
364230,2000-02-14,"Grand Rapids, MN, USA",USA,NA,180,73,LW/C,L,2022-08-26,https://www.eliteprospects.com/player/364230/blake-mclaughlin
484686,2002-05-24,"Bardejov, SVK",Slovakia,NA,181,80,C/RW,L,2022-08-26,https://www.eliteprospects.com/player/484686/richard-nemec
503976,2002-02-21,"Toronto, ON, CAN",Canada,NA,180,75,RW,R,2022-08-26,https://www.eliteprospects.com/player/503976/luke-evangelista
248429,1997-02-17,"Wasau, WI, USA",USA,NA,183,87,LW/C,L,2022-08-26,https://www.eliteprospects.com/player/248429/kevin-conley
388222,2002-04-26,"Raleigh, NC, USA",Czechia,USA,189,81,G,L,2022-08-26,https://www.eliteprospects.com/player/388222/nick-malik
300831,1998-11-22,"Edina, MN, USA",USA,NA,185,89,C,L,2022-08-26,https://www.eliteprospects.com/player/300831/casey-mittelstadt
509869,2003-08-19,"Falun, SWE",Sweden,NA,183,70,D,L,2022-08-26,https://www.eliteprospects.com/player/509869/samuel-eklund
639024,2003-09-29,"Kuopio, FIN",Finland,NA,173,69,LW,L,2022-08-26,https://www.eliteprospects.com/player/639024/konsta-kapanen
527453,2003-11-25,"Moskva, RUS",Russia,NA,185,87,D,L,2022-08-26,https://www.eliteprospects.com/player/527453/pavel-mintyukov
514651,2002-10-22,"Moskva, RUS",Russia,NA,190,82,D,L,2022-08-26,https://www.eliteprospects.com/player/514651/daniil-chayka
331890,2000-06-20,"Trencin, SVK",Slovakia,NA,183,87,C,L,2022-08-26,https://www.eliteprospects.com/player/331890/kristian-kovacik
252724,1997-07-15,"Dieppe, NB, CAN",Canada,NA,185,81,G,L,2022-08-26,https://www.eliteprospects.com/player/252724/frederic-foulem
698717,2003-09-06,"Nizhny Tagil, RUS",Russia,NA,178,74,LW,R,2022-08-26,https://www.eliteprospects.com/player/698717/dmitri-buchelnikov
517394,2003-03-29,"Goteborg, SWE",Sweden,NA,189,83,G,R,2022-08-26,https://www.eliteprospects.com/player/517394/ian-blomquist
305092,2001-12-02,"Halifax, NS, CAN",Canada,NA,175,77,RW/C,R,2022-08-26,https://www.eliteprospects.com/player/305092/ryan-francis
165763,1997-04-09,"Mannedorf, SUI",Switzerland,NA,194,92,C/RW,L,2022-08-26,https://www.eliteprospects.com/player/165763/timo-haussener
363668,2000-12-13,"Toronto, ON, CAN",Canada,NA,185,79,D,L,2022-08-26,https://www.eliteprospects.com/player/363668/christopher-giroday
201536,1999-01-14,"Montreal, QC, CAN",Canada,NA,183,83,LW,L,2022-08-26,https://www.eliteprospects.com/player/201536/arnaud-durandeau
557446,2003-02-09,"Zlate Moravce, SVK",Slovakia,NA,180,80,C/W,R,2022-08-26,https://www.eliteprospects.com/player/557446/marek-sramaty
416856,2001-10-21,"Brooklin, ON, CAN",Canada,NA,185,84,D,R,2022-08-26,https://www.eliteprospects.com/player/416856/colton-kamerrer
567517,2001-11-30,"Novopolotsk, BLR",Belarus,NA,195,91,D,L,2022-08-26,https://www.eliteprospects.com/player/567517/danila-palivko
569291,2004-02-27,"Regina, SK, CAN",Canada,NA,180,84,F,R,2022-08-26,https://www.eliteprospects.com/player/569291/kyren-gronick
201684,1999-05-02,"North Vancouver, BC, CAN",Canada,NA,178,88,C,L,2022-08-26,https://www.eliteprospects.com/player/201684/jordy-bellerive
570931,2004-07-12,"Winnipeg, MB, CAN",Canada,NA,180,85,D,L,2022-08-26,https://www.eliteprospects.com/player/570931/denton-mateychuk
248808,1996-12-18,"Minsk, BLR",Belarus,NA,205,100,D,L,2022-08-26,https://www.eliteprospects.com/player/248808/stepan-falkovsky
527492,2003-08-23,"Topolcany, SVK",Slovakia,NA,190,87,C,L,2022-08-26,https://www.eliteprospects.com/player/527492/alex-geci
535869,2004-03-12,"Memphis, TN, USA",USA,Canada,191,85,C,L,2022-08-26,https://www.eliteprospects.com/player/535869/luke-devlin
618663,2003-01-31,"Toronto, ON, CAN",Canada,NA,183,84,RW,R,2022-08-26,https://www.eliteprospects.com/player/618663/ryan-gillespie
336956,2001-06-01,"Wilmette, IL, USA",USA,NA,188,92,G,L,2022-08-26,https://www.eliteprospects.com/player/336956/cameron-rowe
640893,2004-06-01,"Stockholm, SWE",Sweden,NA,182,82,RW,R,2022-08-26,https://www.eliteprospects.com/player/640893/rasmus-rudslatt
201655,1999-03-07,"Toronto, ON, CAN",Canada,NA,183,90,D,R,2022-08-26,https://www.eliteprospects.com/player/201655/nick-grima
271111,1998-06-06,"Minsk, BLR",Belarus,NA,187,92,C,L,2022-08-26,https://www.eliteprospects.com/player/271111/yegor-sharangovich
538831,2003-05-15,"Moskva, RUS",Russia,NA,197,91,C,L,2022-08-26,https://www.eliteprospects.com/player/538831/matvei-averochkin
561988,2002-11-25,"Michalovce, SVK",Slovakia,NA,186,81,LW/RW,R,2022-08-26,https://www.eliteprospects.com/player/561988/david-hajnik
551013,2003-10-13,"St. Paul, MN, USA",USA,NA,193,100,G,L,2022-08-26,https://www.eliteprospects.com/player/551013/croix-kochendorfer
299556,1999-05-05,"Ottawa, ON, CAN",Canada,NA,191,83,D,R,2022-08-26,https://www.eliteprospects.com/player/299556/cameron-crotty
333546,2000-03-01,"Langnau im Emmental, SUI",Switzerland,NA,186,88,LW/RW,L,2022-08-26,https://www.eliteprospects.com/player/333546/jeremi-gerber
276197,2000-06-23,"Scottsdale, AZ, USA",USA,NA,191,92,D,R,2022-08-26,https://www.eliteprospects.com/player/276197/matt-kessel
244859,1999-07-03,"Gislaved, SWE",Sweden,NA,182,82,LW/RW,L,2022-08-26,https://www.eliteprospects.com/player/244859/filip-sveningsson
189422,1997-03-26,"Delta, BC, CAN",Czechia,Canada,192,92,C/LW,R,2022-08-26,https://www.eliteprospects.com/player/189422/adam-musil
272217,1998-09-20,"St. Louis, MO, USA",USA,NA,188,99,D,R,2022-08-26,https://www.eliteprospects.com/player/272217/luke-martin
529397,2003-01-09,"Trois-Rivieres, QC, CAN",Canada,NA,185,83,G,L,2022-08-26,https://www.eliteprospects.com/player/529397/william-rousseau
243387,1998-07-29,"Hingham, MA, USA",USA,NA,180,79,D,L,2022-08-26,https://www.eliteprospects.com/player/243387/luke-mcinnis
230171,1996-07-21,"Moskva, RUS",Russia,NA,175,83,RW/LW,L,2022-08-26,https://www.eliteprospects.com/player/230171/pavel-poryadin
234647,1997-11-23,"Sioux Falls, SD, USA",USA,NA,188,95,RW,R,2022-08-26,https://www.eliteprospects.com/player/234647/walker-duehr
553221,2003-12-26,"Yorktown Heights, NY, USA",USA,NA,187,86,F,R,2022-08-26,https://www.eliteprospects.com/player/553221/michael-emerson
111641,1996-05-16,"Gislaved, SWE",Sweden,NA,187,89,D,L,2022-08-26,https://www.eliteprospects.com/player/111641/petter-hansson
275579,1999-03-17,"St-Laurent, QC, CAN",Canada,NA,191,84,D,L,2022-08-26,https://www.eliteprospects.com/player/275579/alexander-krief
496757,2001-07-15,"Robbinsdale, MN, USA",USA,NA,183,76,C,L,2022-08-26,https://www.eliteprospects.com/player/496757/garrett-pinoniemi
272426,2000-07-28,"Prerov, CZE",Czechia,NA,182,82,LW,L,2022-08-26,https://www.eliteprospects.com/player/272426/karel-plasek
568044,2002-09-25,"Togliatti, RUS",Russia,NA,185,85,D,R,2022-08-26,https://www.eliteprospects.com/player/568044/dmitri-kostenko
645305,2004-02-19,NA,Norway,NA,183,87,F,L,2022-08-26,https://www.eliteprospects.com/player/645305/kasper-magnussen
584833,2004-09-11,"Coaldale, AB, CAN",Canada,NA,191,83,G,L,2022-08-26,https://www.eliteprospects.com/player/584833/ty-young
537864,2003-04-21,"North Vancouver, BC, CAN",Canada,NA,183,86,F,R,2022-08-26,https://www.eliteprospects.com/player/537864/finlay-williams
417502,2002-01-02,"Muskegon, MI, USA",USA,NA,188,86,C,R,2022-08-26,https://www.eliteprospects.com/player/417502/tanner-latsch
266154,1996-05-26,"Crown Point, IN, USA",USA,NA,188,97,D,L,2022-08-26,https://www.eliteprospects.com/player/266154/ryan-jones
247061,1998-08-29,"Nanaimo, BC, CAN",Canada,NA,191,104,D,L,2022-08-26,https://www.eliteprospects.com/player/247061/josh-anderson
433810,2001-01-23,"Millis, MA, USA",USA,NA,180,84,C,R,2022-08-26,https://www.eliteprospects.com/player/433810/patrick-moynihan
428179,2002-10-03,"Praha, CZE",Czechia,NA,185,93,LW,L,2022-08-26,https://www.eliteprospects.com/player/428179/michal-klimo
238752,1997-09-17,"Flesherton, ON, CAN",Canada,NA,185,82,C,L,2022-08-26,https://www.eliteprospects.com/player/238752/kyle-betts
286940,2001-11-15,"London, GBR",Canada,NA,180,84,RW,R,2022-08-26,https://www.eliteprospects.com/player/286940/tristen-robins
245164,1997-02-20,"Kanata, ON, CAN",Canada,NA,193,88,G,L,2022-08-26,https://www.eliteprospects.com/player/245164/connor-hicks
471038,2004-05-04,"Falun, SWE",Sweden,NA,190,92,C,L,2022-08-26,https://www.eliteprospects.com/player/471038/erik-olhans-lind
595293,2005-02-08,"Nitra, SVK",Slovakia,NA,182,80,LW,L,2022-08-26,https://www.eliteprospects.com/player/595293/ondrej-molnar
276501,1999-06-21,"Arisdorf, SUI",Switzerland,NA,184,79,C/RW,R,2022-08-26,https://www.eliteprospects.com/player/276501/nicolas-muller
284916,1999-03-31,"Mercier, QC, CAN",Canada,NA,183,85,C/LW,L,2022-08-26,https://www.eliteprospects.com/player/284916/felix-bibeau
390207,2003-05-05,"Kentville, NS, CAN",Canada,NA,185,82,D,L,2022-08-26,https://www.eliteprospects.com/player/390207/cameron-whynot
236818,1998-03-24,"Visp, SUI",Switzerland,NA,190,94,G,L,2022-08-26,https://www.eliteprospects.com/player/236818/matteo-ritz
241374,2000-02-28,"Rouyn-Noranda, QC, CAN",Canada,NA,193,86,D,R,2022-08-26,https://www.eliteprospects.com/player/241374/xavier-bouchard
284097,1999-11-16,"Canton, MI, USA",USA,NA,183,90,C/LW,L,2022-08-26,https://www.eliteprospects.com/player/284097/paul-cotter
586609,2003-03-07,"Westwood, MA, USA",USA,NA,183,84,D,R,2022-08-26,https://www.eliteprospects.com/player/586609/matthew-fusco
396889,2001-05-15,"Tyumen, RUS",Russia,NA,191,77,C,L,2022-08-26,https://www.eliteprospects.com/player/396889/danil-bashkirov
565737,2004-01-19,"Saskatoon, SK, CAN",Canada,NA,175,68,D,R,2022-08-26,https://www.eliteprospects.com/player/565737/logan-mccutcheon
233573,1998-10-29,"Lemont, IL, USA",USA,NA,197,88,G,R,2022-08-26,https://www.eliteprospects.com/player/233573/vinnie-purpura
464788,2003-02-05,"Chicago, IL, USA",USA,Canada,171,70,C,R,2022-08-26,https://www.eliteprospects.com/player/464788/colby-saganiuk
201535,1999-08-19,"Quebec, QC, CAN",Canada,NA,183,89,D,L,2022-08-26,https://www.eliteprospects.com/player/201535/antoine-crete-belzile
268659,1998-08-08,"Barrie, ON, CAN",Canada,NA,188,89,D,R,2022-08-26,https://www.eliteprospects.com/player/268659/matt-brassard
549080,2004-04-28,"London, ON, CAN",Canada,NA,178,79,LW/C,L,2022-08-26,https://www.eliteprospects.com/player/549080/beau-jelsma
330886,2000-01-16,"Karlstad, SWE",Sweden,NA,188,85,C/RW,L,2022-08-26,https://www.eliteprospects.com/player/330886/carl-berglund
95507,1996-09-28,"Dusseldorf, GER",Germany,NA,185,75,C/LW,L,2022-08-26,https://www.eliteprospects.com/player/95507/maximilian-kammerer
495921,2002-07-02,"Moorhead, MN, USA",USA,NA,178,82,D,L,2022-08-26,https://www.eliteprospects.com/player/495921/luke-gramer
335280,2000-07-04,"Hearst, ON, CAN",Canada,NA,193,93,C,L,2022-08-26,https://www.eliteprospects.com/player/335280/max-grondin
196789,1997-02-14,"Crystal Lake, IL, USA",USA,NA,183,86,D,R,2022-08-26,https://www.eliteprospects.com/player/196789/tory-dello
418410,2001-03-15,"London, ON, CAN",Canada,NA,193,90,LW,L,2022-08-26,https://www.eliteprospects.com/player/418410/navrin-mutter
226438,1998-04-27,"Canton, NY, USA",USA,NA,197,96,D,L,2022-08-26,https://www.eliteprospects.com/player/226438/j.d.-greenway
794486,2004-02-09,"Polotsk, BLR",Belarus,NA,187,89,D,L,2022-08-26,https://www.eliteprospects.com/player/794486/vladislav-pashuto
317885,2000-06-09,"Peterborough, ON, CAN",Canada,NA,186,94,C/LW,L,2022-08-26,https://www.eliteprospects.com/player/317885/barrett-hayton
229606,1997-05-15,"Darien, CT, USA",USA,NA,188,91,LW,L,2022-08-26,https://www.eliteprospects.com/player/229606/john-mcdermott
375630,2000-04-26,"Kazan, RUS",Russia,NA,183,83,G,L,2022-08-26,https://www.eliteprospects.com/player/375630/amir-miftakhov
